Country,Year,Vehicle Class,Category Of Vehicle,Sales Of Motor Vehicles,Parameters,Consumer Category,Energy Sale For Utilities And Non-Utilities
India,"Financial Year (Apr - Mar), 2015",Four Wheelers,CNG Cars,1569657,ELECTRIC(BOV),Agriculture,6969.98
India,"Financial Year (Apr - Mar), 2008",Four Wheelers,Electric Cars,,DIESEL/HYBRID,Domestic,
India,"Financial Year (Apr - Mar), 2010",Buses,Motorcycles,,LPG ONLY,Agriculture,4315.53
India,"Financial Year (Apr - Mar), 2022",Three Wheelers,Motorcycles,1730444,PETROL,Miscellaneous,47547.41
India,"Financial Year (Apr - Mar), 2012",Two Wheelers,Scooters,6780153,DIESEL/HYBRID,Commercial,3412.04
India,"Financial Year (Apr - Mar), 2013",Four Wheelers,Electric Two Wheelers,2669786,PETROL,Public Water Works & Sewage Pumping,9483.03
India,"Financial Year (Apr - Mar), 2001",Quadricycle,Mopeds,,DIESEL/HYBRID,Domestic,61655.49
India,"Financial Year (Apr - Mar), 2002",Buses,Motorcycles,,DIESEL/HYBRID,Agriculture,37578.95
India,"Financial Year (Apr - Mar), 2011",Quadricycle,Electric Cars,,DIESEL,Commercial,
India,"Financial Year (Apr - Mar), 2007",Trucks,CNG Cars,1470235,DIESEL/HYBRID,Domestic,8058.43
India,"Financial Year (Apr - Mar), 2007",Buses,Scooters,,LPG ONLY,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2015",Trucks,Scooters,,LPG ONLY,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2013",Quadricycle,Motorcycles,,PETROL,Public Water Works & Sewage Pumping,7604.01
India,"Financial Year (Apr - Mar), 2005",Quadricycle,Scooters,,DIESEL,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2022",Three Wheelers,Electric Cars,,DIESEL/HYBRID,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2003",Two Wheelers,CNG Cars,7578370,DIESEL/HYBRID,Miscellaneous,6727.11
India,"Financial Year (Apr - Mar), 2003",Three Wheelers,Scooters,,ELECTRIC/PLUG-IN,Domestic,3611.14
India,"Financial Year (Apr - Mar), 2011",Three Wheelers,Electric Cars,1703481,DIESEL,Miscellaneous,
India,"Financial Year (Apr - Mar), 2024",Buses,Electric Cars,5091502,ELECTRIC/PLUG-IN,Public Water Works & Sewage Pumping,49092.53
India,"Financial Year (Apr - Mar), 2001",Three Wheelers,Electric Two Wheelers,5605095,DIESEL/HYBRID,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2022",Buses,Electric Two Wheelers,,ELECTRIC/PLUG-IN,Commercial,
India,"Financial Year (Apr - Mar), 2000",Quadricycle,Electric Cars,,LPG ONLY,Miscellaneous,35904.82
India,"Financial Year (Apr - Mar), 2010",Four Wheelers,Electric Cars,,ELECTRIC(BOV),Commercial,8896.87
India,"Financial Year (Apr - Mar), 2015",Three Wheelers,Electric Two Wheelers,,LPG ONLY,Miscellaneous,30364.52
India,"Financial Year (Apr - Mar), 2007",Two Wheelers,Electric Cars,4238087,DIESEL/HYBRID,Commercial,2518.29
India,"Financial Year (Apr - Mar), 2021",Two Wheelers,Electric Two Wheelers,9306625,ELECTRIC(BOV),Agriculture,9969.12
India,"Financial Year (Apr - Mar), 2001",Quadricycle,Quadricycle,,DIESEL,Agriculture,
India,"Financial Year (Apr - Mar), 2001",Two Wheelers,Motorcycles,,DIESEL/HYBRID,Domestic,82497.33
India,"Financial Year (Apr - Mar), 2014",Quadricycle,Electric Cars,7906403,ELECTRIC/PLUG-IN,Public Water Works & Sewage Pumping,18088.92
India,"Financial Year (Apr - Mar), 2023",Trucks,Scooters,,DIESEL/HYBRID,Miscellaneous,
India,"Financial Year (Apr - Mar), 2015",Buses,Electric Two Wheelers,63687,CNG ONLY,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2022",Buses,Motorcycles,7218387,ELECTRIC(BOV),Miscellaneous,69855.04
India,"Financial Year (Apr - Mar), 2006",Trucks,Quadricycle,,CNG ONLY,Agriculture,4612.09
India,"Financial Year (Apr - Mar), 2012",Four Wheelers,Electric Two Wheelers,,ELECTRIC(BOV),Domestic,10.31
India,"Financial Year (Apr - Mar), 2018",Trucks,Diesel Cars,9695181,PETROL,Domestic,8237.83
India,"Financial Year (Apr - Mar), 2005",Two Wheelers,CNG Cars,,PETROL,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2000",Quadricycle,Electric Two Wheelers,4801882,ELECTRIC/PLUG-IN,Domestic,
India,"Financial Year (Apr - Mar), 2019",Trucks,Motorcycles,4547454,CNG ONLY,Commercial,6728.35
India,"Financial Year (Apr - Mar), 2015",Four Wheelers,Mopeds,974795,PETROL,Domestic,1204.42
India,"Financial Year (Apr - Mar), 2006",Quadricycle,Motorcycles,8536508,PETROL,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2020",Buses,Diesel Cars,8911674,LPG ONLY,Commercial,
India,"Financial Year (Apr - Mar), 2010",Buses,Electric Two Wheelers,,ELECTRIC(BOV),Domestic,58991.04
India,"Financial Year (Apr - Mar), 2010",Three Wheelers,Scooters,8755386,DIESEL/HYBRID,Miscellaneous,3084.63
India,"Financial Year (Apr - Mar), 2002",Four Wheelers,Electric Two Wheelers,6629511,ELECTRIC(BOV),Public Water Works & Sewage Pumping,73038.86
India,"Financial Year (Apr - Mar), 2013",Quadricycle,Motorcycles,742722,PETROL,Public Water Works & Sewage Pumping,3164.57
India,"Financial Year (Apr - Mar), 2021",Trucks,Mopeds,,LPG ONLY,Domestic,70849.45
India,"Financial Year (Apr - Mar), 2010",Quadricycle,Diesel Cars,3785702,ELECTRIC/PLUG-IN,Commercial,97238.96
India,"Financial Year (Apr - Mar), 2024",Trucks,Electric Cars,,DIESEL/HYBRID,Domestic,99797.45
India,"Financial Year (Apr - Mar), 2019",Buses,Electric Cars,,CNG ONLY,Domestic,11.86
India,"Financial Year (Apr - Mar), 2021",Quadricycle,Scooters,9708623,CNG ONLY,Commercial,7307.62
India,"Financial Year (Apr - Mar), 2008",Three Wheelers,Scooters,3239112,PETROL,Commercial,4020.6
India,"Financial Year (Apr - Mar), 2011",Buses,Electric Two Wheelers,,DIESEL,Miscellaneous,5528.14
India,"Financial Year (Apr - Mar), 2002",Buses,Quadricycle,,DIESEL,Miscellaneous,60926.55
India,"Financial Year (Apr - Mar), 2024",Three Wheelers,Electric Two Wheelers,,PETROL,Agriculture,
India,"Financial Year (Apr - Mar), 2008",Quadricycle,Diesel Cars,,ELECTRIC(BOV),Commercial,84578.76
India,"Financial Year (Apr - Mar), 2020",Buses,Mopeds,,ELECTRIC/PLUG-IN,Commercial,74985.95
India,"Financial Year (Apr - Mar), 2018",Buses,Scooters,,CNG ONLY,Commercial,
India,"Financial Year (Apr - Mar), 2006",Two Wheelers,Diesel Cars,,ELECTRIC/PLUG-IN,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2001",Quadricycle,CNG Cars,,DIESEL/HYBRID,Commercial,91216.29
India,"Financial Year (Apr - Mar), 2004",Three Wheelers,Mopeds,6399690,DIESEL,Domestic,8265.14
India,"Financial Year (Apr - Mar), 2001",Buses,Quadricycle,7369659,DIESEL/HYBRID,Commercial,
India,"Financial Year (Apr - Mar), 2015",Trucks,CNG Cars,,ELECTRIC(BOV),Agriculture,5720.36
India,"Financial Year (Apr - Mar), 2022",Buses,Scooters,,ELECTRIC(BOV),Commercial,
India,"Financial Year (Apr - Mar), 2014",Four Wheelers,Motorcycles,,PETROL,Domestic,520.99
India,"Financial Year (Apr - Mar), 2018",Four Wheelers,Quadricycle,4686103,DIESEL,Miscellaneous,
India,"Financial Year (Apr - Mar), 2012",Buses,Motorcycles,1261661,PETROL,Agriculture,80003.01
India,"Financial Year (Apr - Mar), 2008",Trucks,Quadricycle,6291328,LPG ONLY,Agriculture,3310.61
India,"Financial Year (Apr - Mar), 2024",Three Wheelers,Electric Two Wheelers,,DIESEL,Agriculture,15319.52
India,"Financial Year (Apr - Mar), 2014",Buses,Motorcycles,,DIESEL/HYBRID,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2024",Quadricycle,Motorcycles,,ELECTRIC/PLUG-IN,Agriculture,4160.28
India,"Financial Year (Apr - Mar), 2003",Trucks,Mopeds,,ELECTRIC(BOV),Commercial,
India,"Financial Year (Apr - Mar), 2012",Buses,Electric Cars,,DIESEL,Commercial,59223.6
India,"Financial Year (Apr - Mar), 2014",Quadricycle,CNG Cars,9809416,ELECTRIC(BOV),Domestic,31660.35
India,"Financial Year (Apr - Mar), 2013",Trucks,Electric Cars,,CNG ONLY,Agriculture,
India,"Financial Year (Apr - Mar), 2023",Trucks,Motorcycles,,ELECTRIC/PLUG-IN,Miscellaneous,
India,"Financial Year (Apr - Mar), 2019",Buses,Diesel Cars,4406208,DIESEL,Domestic,47423.67
India,"Financial Year (Apr - Mar), 2012",Trucks,CNG Cars,,DIESEL/HYBRID,Miscellaneous,45640.09
India,"Financial Year (Apr - Mar), 2007",Quadricycle,CNG Cars,,PETROL,Commercial,9071.35
India,"Financial Year (Apr - Mar), 2005",Four Wheelers,Quadricycle,1774694,ELECTRIC(BOV),Public Water Works & Sewage Pumping,5941.87
India,"Financial Year (Apr - Mar), 2020",Two Wheelers,CNG Cars,,ELECTRIC(BOV),Domestic,
India,"Financial Year (Apr - Mar), 2005",Four Wheelers,Mopeds,4239228,ELECTRIC/PLUG-IN,Public Water Works & Sewage Pumping,7352.9
India,"Financial Year (Apr - Mar), 2016",Quadricycle,Electric Cars,7755269,LPG ONLY,Agriculture,26447.6
India,"Financial Year (Apr - Mar), 2017",Two Wheelers,Diesel Cars,7591002,PETROL,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2022",Buses,Motorcycles,,ELECTRIC(BOV),Commercial,7147
India,"Financial Year (Apr - Mar), 2002",Trucks,Mopeds,4226803,PETROL,Agriculture,8618.03
India,"Financial Year (Apr - Mar), 2015",Three Wheelers,Electric Cars,6741666,ELECTRIC(BOV),Agriculture,7501.1
India,"Financial Year (Apr - Mar), 2009",Four Wheelers,Mopeds,,ELECTRIC/PLUG-IN,Commercial,59962.04
India,"Financial Year (Apr - Mar), 2020",Three Wheelers,Diesel Cars,9199215,ELECTRIC(BOV),Commercial,74340.96
India,"Financial Year (Apr - Mar), 2023",Quadricycle,Electric Cars,,ELECTRIC/PLUG-IN,Agriculture,3094.93
India,"Financial Year (Apr - Mar), 2015",Four Wheelers,Mopeds,6397958,LPG ONLY,Commercial,83447.11
India,"Financial Year (Apr - Mar), 2012",Three Wheelers,Electric Cars,8878958,ELECTRIC(BOV),Agriculture,1384.92
India,"Financial Year (Apr - Mar), 2009",Buses,Electric Two Wheelers,260231,LPG ONLY,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2001",Trucks,Quadricycle,8644939,ELECTRIC/PLUG-IN,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2004",Two Wheelers,CNG Cars,,LPG ONLY,Agriculture,96868.87
India,"Financial Year (Apr - Mar), 2006",Quadricycle,Scooters,2370901,DIESEL,Domestic,4280.39
India,"Financial Year (Apr - Mar), 2018",Trucks,Motorcycles,,CNG ONLY,Miscellaneous,
India,"Financial Year (Apr - Mar), 2022",Trucks,Mopeds,,LPG ONLY,Domestic,91292.33
India,"Financial Year (Apr - Mar), 2007",Four Wheelers,Quadricycle,,LPG ONLY,Domestic,8756.13
India,"Financial Year (Apr - Mar), 2006",Four Wheelers,Scooters,1130803,DIESEL/HYBRID,Commercial,9450.79
India,"Financial Year (Apr - Mar), 2022",Two Wheelers,Diesel Cars,5137319,DIESEL,Domestic,
India,"Financial Year (Apr - Mar), 2005",Buses,Diesel Cars,,PETROL,Domestic,95117.47
India,"Financial Year (Apr - Mar), 2006",Two Wheelers,Electric Cars,8238736,ELECTRIC/PLUG-IN,Miscellaneous,6253.55
India,"Financial Year (Apr - Mar), 2007",Four Wheelers,Mopeds,6202357,LPG ONLY,Agriculture,8207.32
India,"Financial Year (Apr - Mar), 2017",Quadricycle,Electric Cars,2748384,PETROL,Domestic,19486.12
India,"Financial Year (Apr - Mar), 2015",Buses,Electric Cars,5890926,LPG ONLY,Miscellaneous,46700.02
India,"Financial Year (Apr - Mar), 2017",Trucks,Motorcycles,4425239,ELECTRIC(BOV),Public Water Works & Sewage Pumping,2989.74
India,"Financial Year (Apr - Mar), 2019",Two Wheelers,Electric Cars,,ELECTRIC/PLUG-IN,Miscellaneous,25443.67
India,"Financial Year (Apr - Mar), 2021",Buses,CNG Cars,,PETROL,Agriculture,98446.56
India,"Financial Year (Apr - Mar), 2001",Two Wheelers,Electric Cars,,DIESEL/HYBRID,Public Water Works & Sewage Pumping,46963.83
India,"Financial Year (Apr - Mar), 2002",Buses,Quadricycle,,CNG ONLY,Domestic,33098.25
India,"Financial Year (Apr - Mar), 2003",Buses,CNG Cars,,DIESEL/HYBRID,Agriculture,
India,"Financial Year (Apr - Mar), 2008",Buses,Quadricycle,9211352,DIESEL,Agriculture,59844.11
India,"Financial Year (Apr - Mar), 2021",Trucks,Scooters,5157501,DIESEL,Agriculture,2326.09
India,"Financial Year (Apr - Mar), 2017",Four Wheelers,Motorcycles,,CNG ONLY,Miscellaneous,77444.11
India,"Financial Year (Apr - Mar), 2015",Three Wheelers,CNG Cars,,CNG ONLY,Public Water Works & Sewage Pumping,820.83
India,"Financial Year (Apr - Mar), 2004",Four Wheelers,CNG Cars,4655289,ELECTRIC/PLUG-IN,Commercial,10891.96
India,"Financial Year (Apr - Mar), 2001",Three Wheelers,Electric Two Wheelers,2412114,DIESEL,Commercial,35150.08
India,"Financial Year (Apr - Mar), 2000",Quadricycle,Diesel Cars,,DIESEL,Domestic,2678.08
India,"Financial Year (Apr - Mar), 2014",Quadricycle,Scooters,,ELECTRIC(BOV),Miscellaneous,8276.96
India,"Financial Year (Apr - Mar), 2021",Two Wheelers,Mopeds,7656638,ELECTRIC(BOV),Agriculture,47565.53
India,"Financial Year (Apr - Mar), 2021",Four Wheelers,Electric Two Wheelers,3314860,CNG ONLY,Commercial,95806.26
India,"Financial Year (Apr - Mar), 2022",Three Wheelers,Mopeds,,ELECTRIC/PLUG-IN,Agriculture,
India,"Financial Year (Apr - Mar), 2023",Four Wheelers,Mopeds,,ELECTRIC(BOV),Commercial,1909.39
India,"Financial Year (Apr - Mar), 2005",Buses,Mopeds,9988034,ELECTRIC(BOV),Public Water Works & Sewage Pumping,8597.86
India,"Financial Year (Apr - Mar), 2021",Three Wheelers,Quadricycle,9790187,LPG ONLY,Commercial,
India,"Financial Year (Apr - Mar), 2022",Quadricycle,Electric Cars,8831549,LPG ONLY,Domestic,7012.34
India,"Financial Year (Apr - Mar), 2004",Quadricycle,Diesel Cars,5112367,LPG ONLY,Agriculture,59234.08
India,"Financial Year (Apr - Mar), 2018",Three Wheelers,Diesel Cars,3226662,DIESEL,Public Water Works & Sewage Pumping,95826.93
India,"Financial Year (Apr - Mar), 2000",Quadricycle,Electric Cars,,ELECTRIC(BOV),Agriculture,55331.97
India,"Financial Year (Apr - Mar), 2000",Trucks,CNG Cars,,PETROL,Commercial,7682.02
India,"Financial Year (Apr - Mar), 2001",Two Wheelers,Mopeds,,ELECTRIC/PLUG-IN,Commercial,9241.49
India,"Financial Year (Apr - Mar), 2013",Quadricycle,Quadricycle,2273557,DIESEL,Commercial,83294.55
India,"Financial Year (Apr - Mar), 2016",Two Wheelers,Scooters,,ELECTRIC(BOV),Miscellaneous,
India,"Financial Year (Apr - Mar), 2016",Trucks,Motorcycles,,DIESEL,Miscellaneous,5177.76
India,"Financial Year (Apr - Mar), 2022",Quadricycle,Diesel Cars,8447247,DIESEL,Agriculture,
India,"Financial Year (Apr - Mar), 2020",Trucks,Mopeds,,CNG ONLY,Agriculture,2323.67
India,"Financial Year (Apr - Mar), 2023",Two Wheelers,Electric Two Wheelers,1205344,PETROL,Commercial,
India,"Financial Year (Apr - Mar), 2020",Buses,Scooters,7166406,DIESEL,Public Water Works & Sewage Pumping,8767.37
India,"Financial Year (Apr - Mar), 2012",Three Wheelers,Mopeds,,CNG ONLY,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2010",Quadricycle,Mopeds,6640604,ELECTRIC(BOV),Miscellaneous,76951.47
India,"Financial Year (Apr - Mar), 2024",Three Wheelers,Scooters,,CNG ONLY,Commercial,8295.56
India,"Financial Year (Apr - Mar), 2009",Four Wheelers,Mopeds,,CNG ONLY,Domestic,
India,"Financial Year (Apr - Mar), 2007",Quadricycle,Electric Two Wheelers,,DIESEL/HYBRID,Miscellaneous,86053.57
India,"Financial Year (Apr - Mar), 2000",Two Wheelers,Mopeds,,DIESEL,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2008",Trucks,Motorcycles,,ELECTRIC/PLUG-IN,Agriculture,
India,"Financial Year (Apr - Mar), 2002",Quadricycle,Electric Two Wheelers,,ELECTRIC(BOV),Commercial,52759.03
India,"Financial Year (Apr - Mar), 2011",Two Wheelers,Electric Cars,,DIESEL/HYBRID,Commercial,55987.37
India,"Financial Year (Apr - Mar), 2009",Two Wheelers,CNG Cars,723806,ELECTRIC/PLUG-IN,Agriculture,
India,"Financial Year (Apr - Mar), 2013",Four Wheelers,CNG Cars,,DIESEL,Miscellaneous,4188.73
India,"Financial Year (Apr - Mar), 2013",Trucks,Electric Cars,,LPG ONLY,Miscellaneous,
India,"Financial Year (Apr - Mar), 2007",Four Wheelers,Diesel Cars,9445754,ELECTRIC/PLUG-IN,Domestic,
India,"Financial Year (Apr - Mar), 2004",Buses,Electric Cars,8252184,ELECTRIC(BOV),Public Water Works & Sewage Pumping,2871.87
India,"Financial Year (Apr - Mar), 2024",Four Wheelers,Diesel Cars,1995404,ELECTRIC/PLUG-IN,Commercial,57482.92
India,"Financial Year (Apr - Mar), 2001",Two Wheelers,Scooters,908704,DIESEL/HYBRID,Domestic,15157.93
India,"Financial Year (Apr - Mar), 2012",Three Wheelers,Scooters,,CNG ONLY,Miscellaneous,5831.03
India,"Financial Year (Apr - Mar), 2009",Three Wheelers,Diesel Cars,2660503,ELECTRIC(BOV),Domestic,6237.56
India,"Financial Year (Apr - Mar), 2001",Three Wheelers,Motorcycles,,PETROL,Miscellaneous,79697.75
India,"Financial Year (Apr - Mar), 2011",Buses,Diesel Cars,,DIESEL,Public Water Works & Sewage Pumping,22316.06
India,"Financial Year (Apr - Mar), 2006",Quadricycle,Quadricycle,4801126,CNG ONLY,Agriculture,7249.72
India,"Financial Year (Apr - Mar), 2011",Trucks,Electric Two Wheelers,2801241,DIESEL/HYBRID,Commercial,66116.73
India,"Financial Year (Apr - Mar), 2023",Four Wheelers,Scooters,,PETROL,Public Water Works & Sewage Pumping,2820.69
India,"Financial Year (Apr - Mar), 2017",Quadricycle,Mopeds,,DIESEL,Domestic,84517.88
India,"Financial Year (Apr - Mar), 2009",Three Wheelers,Mopeds,8698458,DIESEL,Agriculture,536.91
India,"Financial Year (Apr - Mar), 2006",Two Wheelers,Electric Cars,,ELECTRIC/PLUG-IN,Agriculture,
India,"Financial Year (Apr - Mar), 2017",Buses,Diesel Cars,,DIESEL/HYBRID,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2019",Two Wheelers,Motorcycles,,DIESEL,Miscellaneous,5171.11
India,"Financial Year (Apr - Mar), 2003",Three Wheelers,Motorcycles,6799329,DIESEL/HYBRID,Domestic,2022.62
India,"Financial Year (Apr - Mar), 2011",Three Wheelers,Electric Cars,,DIESEL,Agriculture,24813.93
India,"Financial Year (Apr - Mar), 2012",Four Wheelers,Electric Cars,,ELECTRIC(BOV),Commercial,
India,"Financial Year (Apr - Mar), 2011",Quadricycle,Scooters,8540508,DIESEL/HYBRID,Miscellaneous,71480.29
India,"Financial Year (Apr - Mar), 2023",Quadricycle,Quadricycle,,DIESEL/HYBRID,Miscellaneous,8022.36
India,"Financial Year (Apr - Mar), 2004",Four Wheelers,Scooters,2090563,CNG ONLY,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2006",Quadricycle,Quadricycle,4871282,ELECTRIC/PLUG-IN,Miscellaneous,
India,"Financial Year (Apr - Mar), 2011",Three Wheelers,Electric Cars,5470388,PETROL,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2006",Buses,CNG Cars,,PETROL,Miscellaneous,82771.35
India,"Financial Year (Apr - Mar), 2024",Quadricycle,Electric Two Wheelers,,CNG ONLY,Miscellaneous,46272.82
India,"Financial Year (Apr - Mar), 2023",Four Wheelers,Electric Cars,,DIESEL,Public Water Works & Sewage Pumping,53930.58
India,"Financial Year (Apr - Mar), 2013",Four Wheelers,Scooters,9155155,CNG ONLY,Agriculture,93646.31
India,"Financial Year (Apr - Mar), 2010",Two Wheelers,CNG Cars,1147317,PETROL,Public Water Works & Sewage Pumping,35448.89
India,"Financial Year (Apr - Mar), 2003",Three Wheelers,Quadricycle,246824,LPG ONLY,Commercial,8020.38
India,"Financial Year (Apr - Mar), 2020",Three Wheelers,Motorcycles,103246,ELECTRIC/PLUG-IN,Commercial,7564.36
India,"Financial Year (Apr - Mar), 2012",Three Wheelers,CNG Cars,,LPG ONLY,Miscellaneous,
India,"Financial Year (Apr - Mar), 2016",Four Wheelers,Motorcycles,9845351,DIESEL/HYBRID,Commercial,11499.44
India,"Financial Year (Apr - Mar), 2005",Trucks,Electric Two Wheelers,8079552,CNG ONLY,Miscellaneous,
India,"Financial Year (Apr - Mar), 2014",Four Wheelers,Motorcycles,8365425,CNG ONLY,Miscellaneous,3603.6
India,"Financial Year (Apr - Mar), 2014",Four Wheelers,Electric Two Wheelers,,DIESEL/HYBRID,Miscellaneous,4759.88
India,"Financial Year (Apr - Mar), 2021",Three Wheelers,Mopeds,3082753,LPG ONLY,Agriculture,
India,"Financial Year (Apr - Mar), 2011",Three Wheelers,CNG Cars,9450501,LPG ONLY,Miscellaneous,3120.71
India,"Financial Year (Apr - Mar), 2017",Buses,Electric Cars,936109,DIESEL,Miscellaneous,2985.62
India,"Financial Year (Apr - Mar), 2011",Two Wheelers,Electric Two Wheelers,,ELECTRIC(BOV),Commercial,10642.79
India,"Financial Year (Apr - Mar), 2008",Buses,CNG Cars,,DIESEL,Commercial,
India,"Financial Year (Apr - Mar), 2020",Two Wheelers,Electric Two Wheelers,2058880,DIESEL/HYBRID,Public Water Works & Sewage Pumping,7661.03
India,"Financial Year (Apr - Mar), 2004",Three Wheelers,Mopeds,5567821,LPG ONLY,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2003",Three Wheelers,Mopeds,,CNG ONLY,Public Water Works & Sewage Pumping,98801.89
India,"Financial Year (Apr - Mar), 2005",Two Wheelers,Mopeds,,ELECTRIC(BOV),Public Water Works & Sewage Pumping,15151.3
India,"Financial Year (Apr - Mar), 2022",Quadricycle,Electric Two Wheelers,,CNG ONLY,Miscellaneous,
India,"Financial Year (Apr - Mar), 2005",Two Wheelers,Electric Cars,8472176,PETROL,Domestic,
India,"Financial Year (Apr - Mar), 2024",Buses,Diesel Cars,6027004,LPG ONLY,Miscellaneous,
India,"Financial Year (Apr - Mar), 2015",Trucks,Motorcycles,3868804,CNG ONLY,Agriculture,
India,"Financial Year (Apr - Mar), 2023",Trucks,CNG Cars,,ELECTRIC(BOV),Miscellaneous,12163.71
India,"Financial Year (Apr - Mar), 2003",Four Wheelers,Mopeds,9478740,DIESEL,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2003",Buses,Electric Two Wheelers,3849973,PETROL,Miscellaneous,
India,"Financial Year (Apr - Mar), 2023",Trucks,Electric Cars,3083961,ELECTRIC(BOV),Miscellaneous,
India,"Financial Year (Apr - Mar), 2002",Two Wheelers,Mopeds,,CNG ONLY,Miscellaneous,81461.3
India,"Financial Year (Apr - Mar), 2018",Buses,Electric Two Wheelers,46160,CNG ONLY,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2006",Quadricycle,Diesel Cars,,DIESEL/HYBRID,Domestic,7072.49
India,"Financial Year (Apr - Mar), 2017",Quadricycle,Quadricycle,4624965,DIESEL/HYBRID,Commercial,18320.46
India,"Financial Year (Apr - Mar), 2008",Four Wheelers,Mopeds,,ELECTRIC/PLUG-IN,Domestic,32286.85
India,"Financial Year (Apr - Mar), 2003",Quadricycle,Quadricycle,,LPG ONLY,Commercial,
India,"Financial Year (Apr - Mar), 2015",Quadricycle,Electric Cars,3772853,LPG ONLY,Agriculture,38406.99
India,"Financial Year (Apr - Mar), 2004",Quadricycle,Scooters,,LPG ONLY,Commercial,57024.71
India,"Financial Year (Apr - Mar), 2016",Quadricycle,CNG Cars,6858829,ELECTRIC/PLUG-IN,Domestic,
India,"Financial Year (Apr - Mar), 2001",Trucks,Scooters,,ELECTRIC(BOV),Commercial,12731.84
India,"Financial Year (Apr - Mar), 2004",Three Wheelers,Quadricycle,,DIESEL/HYBRID,Commercial,1199.02
India,"Financial Year (Apr - Mar), 2015",Two Wheelers,CNG Cars,,DIESEL,Miscellaneous,74382.77
India,"Financial Year (Apr - Mar), 2018",Buses,Quadricycle,3903193,ELECTRIC(BOV),Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2002",Four Wheelers,Electric Two Wheelers,,DIESEL/HYBRID,Domestic,2675.28
India,"Financial Year (Apr - Mar), 2003",Trucks,Diesel Cars,3779484,DIESEL/HYBRID,Agriculture,1836.82
India,"Financial Year (Apr - Mar), 2008",Three Wheelers,Mopeds,,DIESEL,Miscellaneous,87960.96
India,"Financial Year (Apr - Mar), 2014",Four Wheelers,CNG Cars,,DIESEL,Miscellaneous,
India,"Financial Year (Apr - Mar), 2012",Two Wheelers,Mopeds,9294276,LPG ONLY,Public Water Works & Sewage Pumping,24072.59
India,"Financial Year (Apr - Mar), 2015",Buses,Motorcycles,,PETROL,Commercial,90010.05
India,"Financial Year (Apr - Mar), 2009",Quadricycle,Scooters,1660375,ELECTRIC(BOV),Public Water Works & Sewage Pumping,4925.1
India,"Financial Year (Apr - Mar), 2019",Two Wheelers,Scooters,,CNG ONLY,Miscellaneous,
India,"Financial Year (Apr - Mar), 2005",Buses,CNG Cars,,DIESEL/HYBRID,Commercial,
India,"Financial Year (Apr - Mar), 2016",Buses,Quadricycle,8067907,DIESEL/HYBRID,Commercial,13093.92
India,"Financial Year (Apr - Mar), 2021",Buses,Electric Cars,6112493,ELECTRIC/PLUG-IN,Commercial,48880.95
India,"Financial Year (Apr - Mar), 2022",Two Wheelers,Quadricycle,,LPG ONLY,Commercial,
India,"Financial Year (Apr - Mar), 2004",Quadricycle,Electric Cars,782838,LPG ONLY,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2006",Three Wheelers,CNG Cars,9611588,DIESEL/HYBRID,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2015",Four Wheelers,Mopeds,,PETROL,Commercial,
India,"Financial Year (Apr - Mar), 2023",Buses,Electric Two Wheelers,8070426,DIESEL/HYBRID,Commercial,
India,"Financial Year (Apr - Mar), 2005",Trucks,Scooters,8315827,ELECTRIC/PLUG-IN,Commercial,
India,"Financial Year (Apr - Mar), 2006",Two Wheelers,Mopeds,,LPG ONLY,Domestic,18731.64
India,"Financial Year (Apr - Mar), 2011",Buses,Quadricycle,3517145,CNG ONLY,Commercial,
India,"Financial Year (Apr - Mar), 2009",Three Wheelers,Electric Two Wheelers,8087813,CNG ONLY,Agriculture,69562.97
India,"Financial Year (Apr - Mar), 2020",Buses,Scooters,2065397,LPG ONLY,Commercial,
